dataset,setting_type,k,metric,comparison_family,comparison_label,method_a,method_b,n_pairs,seeds,mean_a,mean_b,mean_difference_a_minus_b,percent_improvement,ci95_low_difference,ci95_high_difference,cohens_dz,paired_t_p_value,paired_t_holm_p_value,paired_t_holm_reject_0_05
az_class,ablation,100,final_taskwise_average_accuracy,component_effect,Diversity effect,hybrid_diversity_buffer,hybrid_random_buffer,5,"42,43,44,45,46",0.6342210366150113,0.7129473423550008,-0.07872630573998955,-11.042373126736337,-0.11302110291425577,-0.044431508565723345,-2.8503337999700213,0.00310824521397106,0.14919577027061087,False
az_class,ablation,100,forgetting,component_effect,Diversity effect,hybrid_diversity_buffer,hybrid_random_buffer,5,"42,43,44,45,46",0.20996095951517443,0.12891016499330907,0.08105079452186534,-62.873858338535385,0.044359071692205404,0.11774251735152527,2.7427944457887365,0.0035820755128937462,0.15402924705443108,False
az_class,ablation,100,macro_f1,component_effect,Diversity effect,hybrid_diversity_buffer,hybrid_random_buffer,5,"42,43,44,45,46",0.554252600589556,0.6404831115244924,-0.08623051093493639,-13.463354362254542,-0.09713095824096471,-0.07533006362890807,-9.822470396734413,2.5430227409227044e-05,0.003671008350043056,True
az_class,ablation,100,balanced_accuracy,component_effect,Diversity effect,hybrid_diversity_buffer,hybrid_random_buffer,5,"42,43,44,45,46",0.745711519924931,0.7959336956981928,-0.0502221757732618,-6.309844154695191,-0.05792502347488932,-0.042519328071634284,-8.0955862019633,5.4756275526000556e-05,0.00685137864959472,True
az_class,ablation,100,old_class_accuracy,component_effect,Diversity effect,hybrid_diversity_buffer,hybrid_random_buffer,5,"42,43,44,45,46",0.5679209091157483,0.6743425697823894,-0.10642166066664105,-15.781542710700194,-0.12090226990654095,-0.09194105142674115,-9.125302843938853,3.4064342252865295e-05,0.004564621861883949,True
az_class,ablation,100,new_class_accuracy,component_effect,Diversity effect,hybrid_diversity_buffer,hybrid_random_buffer,5,"42,43,44,45,46",0.7519264080655375,0.7388623782823497,0.013064029783187802,1.7681276198631226,-0.033150585657049876,0.059278645223425484,0.3509957899405729,0.4764183181515654,1.0,False
az_class,ablation,100,mmd_real_generated,component_effect,Diversity effect,hybrid_diversity_buffer,hybrid_random_buffer,5,"42,43,44,45,46",0.00336108207702634,0.002566123008728,0.0007949590682983399,-30.9789930410387,-0.000653380789093613,0.002243298925690293,0.6815196378901642,0.20220409755567886,1.0,False
az_class,ablation,100,wasserstein_real_generated,component_effect,Diversity effect,hybrid_diversity_buffer,hybrid_random_buffer,5,"42,43,44,45,46",0.05560546666383738,0.05320556163787839,0.0023999050259589996,-4.51062812247515,-0.008985880243470318,0.013785690295388318,0.2617189415860921,0.5898221582864224,1.0,False
az_class,ablation,100,mean_acc_seen,component_effect,KD effect,plus_kd,hybrid_random_buffer,5,"42,43,44,45,46",0.6884136193880664,0.733612271481358,-0.04519865209329166,-6.161109055880903,-0.05725257094370965,-0.03314473324287367,-4.655874970456711,0.00048078889237371556,0.03509758914328124,True
az_class,ablation,100,final_taskwise_average_accuracy,component_effect,KD effect,plus_kd,hybrid_random_buffer,5,"42,43,44,45,46",0.6454140104414033,0.7129473423550008,-0.06753333191359749,-9.47241512823682,-0.09068801375917392,-0.04437865006802107,-3.621457961508511,0.0012640554251720213,0.07584332551032127,False
